,Date,Home Team,Home Score,Road Team,Road Score,Venue
277,2019-11-30T03:00:00.000Z,POR,107.0,CHI,103.0,Moda Center
278,2019-11-30T03:30:00.000Z,LAL,125.0,WAS,103.0,Staples Center
279,2019-11-30T22:00:00.000Z,SAC,100.0,DEN,97.0,Golden 1 Center
280,2019-12-01T00:00:00.000Z,PHI,119.0,IND,116.0,Wells Fargo Center
281,2019-12-01T01:00:00.000Z,MIL,137.0,CHA,96.0,Fiserv Forum
282,2019-12-01T01:00:00.000Z,HOU,158.0,ATL,111.0,Toyota Center
283,2019-12-01T20:00:00.000Z,BRO,106.0,MIA,109.0,Barclays Center
284,2019-12-01T20:30:00.000Z,MIN,107.0,MEM,115.0,Target Center
285,2019-12-01T20:30:00.000Z,NYK,104.0,BOS,113.0,Madison Square Garden
286,2019-12-01T21:00:00.000Z,LAL,100.0,DAL,114.0,Staples Center
287,2019-12-01T22:00:00.000Z,NOP,104.0,OKL,107.0,Smoothie King Center
288,2019-12-01T22:00:00.000Z,DET,132.0,SAS,98.0,Little Caesars Arena
289,2019-12-01T23:00:00.000Z,TOR,130.0,UTA,110.0,Scotiabank Arena
290,2019-12-01T23:00:00.000Z,ORL,100.0,GSW,96.0,Amway Center
291,2019-12-02T03:30:00.000Z,LAC,150.0,WAS,125.0,Staples Center
292,2019-12-03T00:00:00.000Z,PHI,103.0,UTA,94.0,Wells Fargo Center
293,2019-12-03T00:00:00.000Z,CHA,104.0,PHX,109.0,Spectrum Center
294,2019-12-03T00:30:00.000Z,ATL,104.0,GSW,79.0,State Farm Arena
295,2019-12-03T01:00:00.000Z,MIL,132.0,NYK,88.0,Fiserv Forum
296,2019-12-03T01:00:00.000Z,MEM,104.0,IND,117.0,FedEx Forum
297,2019-12-03T03:00:00.000Z,SAC,106.0,CHI,113.0,Golden 1 Center
298,2019-12-04T00:00:00.000Z,WAS,120.0,ORL,127.0,Capital One Arena
299,2019-12-04T00:00:00.000Z,CLE,94.0,DET,127.0,Quicken Loans Arena
300,2019-12-04T00:30:00.000Z,NOP,97.0,DAL,118.0,Smoothie King Center
301,2019-12-04T00:30:00.000Z,TOR,110.0,MIA,121.0,Scotiabank Arena
302,2019-12-04T01:30:00.000Z,SAS,135.0,HOU,133.0,AT&T Center
303,2019-12-04T02:00:00.000Z,DEN,96.0,LAL,105.0,Pepsi Center
304,2019-12-04T03:00:00.000Z,LAC,117.0,POR,97.0,Staples Center
305,2019-12-05T00:00:00.000Z,ORL,128.0,PHX,114.0,Amway Center
306,2019-12-05T00:00:00.000Z,DET,103.0,MIL,127.0,Little Caesars Arena
307,2019-12-05T00:00:00.000Z,CHA,106.0,GSW,91.0,Spectrum Center
308,2019-12-05T00:30:00.000Z,BOS,112.0,MIA,93.0,TD Garden
309,2019-12-05T00:30:00.000Z,ATL,118.0,BRO,130.0,State Farm Arena
310,2019-12-05T01:00:00.000Z,OKL,100.0,IND,107.0,Chesapeake Energy Arena
311,2019-12-05T01:00:00.000Z,CHI,106.0,MEM,99.0,United Center
312,2019-12-05T01:30:00.000Z,DAL,121.0,MIN,114.0,American Airlines Center
313,2019-12-05T02:00:00.000Z,UTA,96.0,LAL,121.0,Vivint Smart Home Arena
314,2019-12-05T03:00:00.000Z,POR,127.0,SAC,116.0,Moda Center
315,2019-12-06T00:00:00.000Z,WAS,119.0,PHI,113.0,Capital One Arena
316,2019-12-06T00:30:00.000Z,TOR,109.0,HOU,119.0,Scotiabank Arena
317,2019-12-06T00:30:00.000Z,NYK,92.0,DEN,129.0,Madison Square Garden
318,2019-12-06T01:00:00.000Z,NOP,132.0,PHX,139.0,Smoothie King Center
